ID	Gene Symbol
1759886_at	ECs4998
1759887_s_at	ECs3557 /// ygaD /// ygaD
1759888_at	yedS
1759889_at	c1357
1759890_s_at	ECs3407 /// hcaB
1759891_s_at	glcA /// yghK
1759892_s_at	ECs3777 /// visC /// visC
1759893_s_at	ECs5071 /// Z5689
1759894_s_at	cynR /// cynR /// ECs0391
1759895_at	agp
1759896_at	c3679
1759897_s_at	ECs2682 /// fliK
1759898_s_at	ruvC /// ruvC
1759899_s_at	ECs2755 /// Z3118
1759900_s_at	c2122
1759901_s_at	c1516
1759902_s_at	ECs0400 /// Z0443
1759903_at	c1219
1759904_s_at	ECs3924 /// ygiA
1759905_at	cbrB
1759906_s_at	dadA /// dadA /// ECs1684
1759907_s_at	pyrD /// pyrD
1759909_s_at	ECs2888 /// yegP /// yegP /// Z3249
1759910_s_at	ECs1116 /// ECs1555 /// ECs2238 /// ECs2723 /// ECs2947 /// Z1815 /// Z2352 /// Z3082 /// Z6033
1759911_s_at	ECs4297 /// ugpE /// ugpE
1759912_s_at	ECs5215 /// nrdD /// nrdD
1759913_s_at	ECs0136 /// yadD
1759916_at	ygfT
1759917_x_at	Z1796
1759918_s_at	clpA /// clpA
1759921_s_at	ECs4196 /// yheN /// yheN
1759922_s_at	mraY /// mraY
1759923_s_at	ECs3848 /// Z4317
1759924_at	ileS
1759925_s_at	cpsG /// ECs2835 /// ECs2853 /// manB
1759926_s_at	afuB /// ECs0414
1759927_s_at	aphA /// aphA
1759928_at	ybcU
1759929_s_at	ECs4151 /// smf /// smf
1759930_s_at	ECs0564 /// ybbB /// ybbB
1759931_at	c1939
1759932_at	c5135
1759933_s_at	ECs4028 /// yraM /// yraM /// yraM
